Player,variable,deciles,type_variable
M. Klimowicz,Back passes per 90,6,Positioning
M. Klimowicz,Interceptions per 90,2,Defense
M. Klimowicz,Shots blocked per 90,38,Defense
M. Klimowicz,Fouls per 90,44,Defense
M. Kruse,Passes to final third per 90,49,Buildup
M. Kruse,Progressive passes per 90,72,Buildup
M. Kruse,Lateral passes per 90,75,Positioning
M. Kruse,Long passes per 90,62,Buildup
M. Kruse,Shots per 90,48,Positioning
M. Kruse,Touches in box per 90,28,Chance creation
M. Kruse,Progressive runs per 90,59,Buildup
M. Kruse,Dribbles per 90,4,Chance creation
M. Kruse,Back passes per 90,88,Positioning
M. Kruse,Interceptions per 90,1,Defense
M. Kruse,Shots blocked per 90,1,Defense
M. Kruse,Fouls per 90,2,Defense
D. Drexler,Passes to final third per 90,28,Buildup
D. Drexler,Progressive passes per 90,81,Buildup
D. Drexler,Lateral passes per 90,41,Positioning
D. Drexler,Long passes per 90,24,Buildup
D. Drexler,Shots per 90,8,Positioning
D. Drexler,Touches in box per 90,73,Chance creation
D. Drexler,Progressive runs per 90,30,Buildup
D. Drexler,Dribbles per 90,22,Chance creation
D. Drexler,Back passes per 90,89,Positioning
D. Drexler,Interceptions per 90,53,Defense
D. Drexler,Shots blocked per 90,87,Defense
D. Drexler,Fouls per 90,78,Defense
D. Caligiuri,Passes to final third per 90,54,Buildup
D. Caligiuri,Progressive passes per 90,86,Buildup
D. Caligiuri,Lateral passes per 90,27,Positioning
D. Caligiuri,Long passes per 90,87,Buildup
D. Caligiuri,Shots per 90,34,Positioning
D. Caligiuri,Touches in box per 90,15,Chance creation
D. Caligiuri,Progressive runs per 90,58,Buildup
D. Caligiuri,Dribbles per 90,70,Chance creation
D. Caligiuri,Back passes per 90,13,Positioning
D. Caligiuri,Interceptions per 90,99,Defense
D. Caligiuri,Shots blocked per 90,75,Defense
D. Caligiuri,Fouls per 90,55,Defense
D. Didavi,Passes to final third per 90,85,Buildup
D. Didavi,Progressive passes per 90,77,Buildup
D. Didavi,Lateral passes per 90,55,Positioning
D. Didavi,Long passes per 90,47,Buildup
D. Didavi,Shots per 90,80,Positioning
D. Didavi,Touches in box per 90,58,Chance creation
D. Didavi,Progressive runs per 90,21,Buildup
D. Didavi,Dribbles per 90,6,Chance creation
D. Didavi,Back passes per 90,23,Positioning
D. Didavi,Interceptions per 90,24,Defense
D. Didavi,Shots blocked per 90,1,Defense
D. Didavi,Fouls per 90,75,Defense
G. Castro,Passes to final third per 90,84,Buildup
G. Castro,Progressive passes per 90,78,Buildup
G. Castro,Lateral passes per 90,56,Positioning
G. Castro,Long passes per 90,63,Buildup
G. Castro,Shots per 90,47,Positioning
G. Castro,Touches in box per 90,42,Chance creation
G. Castro,Progressive runs per 90,56,Buildup
G. Castro,Dribbles per 90,21,Chance creation
G. Castro,Back passes per 90,69,Positioning
G. Castro,Interceptions per 90,31,Defense
G. Castro,Shots blocked per 90,73,Defense
G. Castro,Fouls per 90,21,Defense
